Report generated on: 11-17-2024 10:07:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil including lease condensate production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-BGR-TBPD.A","        Bulgaria","","","","","4","6","6","6","4","5","1","1","1","1","1","0.8","0.8","0.8","0.8","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"INTL.57-1-BFA-TBPD.A","        Burkina Faso","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-MMR-TBPD.A","        Burma","","","","","31","28","28","20","15","15","15","15","14","13","13","9","8","8","8","8","12","12.851232876712329","16.2","19.904120547945205","19.562879781420765","22","21","21","21.35293442622951","18.084931506849315","20.328767123287673","20","20","20","19.575342465753426","15","15","11"
"INTL.57-1-BDI-TBPD.A","        Burundi","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CPV-TBPD.A","        Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-KHM-TBPD.A","        Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CMR-TBPD.A","        Cameroon","","","","","154","181","175","165","171","171","164","151","137","130","116","100.97260273972603","107","116.97260273972603","121.45205479452055","113.98630136986301","113.77637978142077","102.8489808219178","108.2087698630137","102.18142191780822","97.23776229508196","89.45197260273973","91.48219178082192","86.5068493150685","81.32513661202186","76.9041095890411","65","61.66027397260274","63","62.75616438356165","75","98","92","75.95945205461643"
"INTL.57-1-CAN-TBPD.A","        Canada","1435.2021857923498","1284.7287671232878","1271.150684931507","1356.2301369863014","1437.622950819672","1471.0520547945205","1474.2191780821918","1534.9287671232876","1616.2322404371585","1560.0958904109589","1552.9424657534246","1548.0465753424658","1366.2377049180327","1429.33698630137","1490.9118493150686","1534.8352657534247","1571.259038251366","1659.493701369863","1717.3636410958904","1598.5983589041095","1695.6356885245903","1706.4263424657534","1767.673402739726","1834.2030630136987","1818.3539863387978","1831.0586575342465","1871.4171780821919","1920.0122301369863","2579.3088606557376","2579.4798493150683","2740.7561643835616","2900.646575342466","3137.8387978142077","3325.1287671232876","3613.2246575342465","3677.1260273972603","3679.0464480874316","3990.109589041096"
"INTL.57-1-CYM-TBPD.A","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CAF-TBPD.A","        Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
